"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"24.10.2019","243,58","244,51","244,80","241,81","17,92M","0,16%"
"23.10.2019","243,18","242,10","243,24","241,22","19,93M","1,34%"
"22.10.2019","239,96","241,16","242,20","239,62","22,68M","-0,23%"
"21.10.2019","240,51","237,52","240,99","237,32","22,37M","1,73%"
"18.10.2019","236,41","234,59","237,58","234,29","24,38M","0,48%"
"17.10.2019","235,28","235,09","236,15","233,52","17,27M","0,39%"
"16.10.2019","234,37","233,37","235,24","233,20","19,29M","-0,40%"
"15.10.2019","235,32","236,39","237,65","234,88","23,04M","-0,23%"
"14.10.2019","235,87","234,90","238,13","234,67","24,41M","-0,14%"
"11.10.2019","236,21","232,95","237,64","232,31","41,99M","2,66%"
"10.10.2019","230,09","227,93","230,44","227,30","28,96M","1,35%"
"09.10.2019","227,03","227,03","227,79","225,64","19,03M","1,17%"
"08.10.2019","224,40","225,82","228,06","224,33","29,28M","-1,17%"
"07.10.2019","227,06","226,27","229,93","225,84","30,89M","0,02%"
"04.10.2019","227,01","225,64","227,49","223,89","34,76M","2,80%"
"03.10.2019","220,82","218,43","220,96","215,13","30,35M","0,85%"
"02.10.2019","218,96","223,06","223,58","217,93","35,77M","-2,51%"
"01.10.2019","224,59","225,07","228,22","224,20","36,19M","0,28%"
"30.09.2019","223,97","220,90","224,58","220,79","26,32M","2,35%"
"27.09.2019","218,82","220,54","220,96","217,28","25,36M","-0,49%"
"26.09.2019","219,89","220,00","220,94","218,83","19,09M","-0,52%"
"25.09.2019","221,03","218,55","221,50","217,14","22,48M","1,54%"
"24.09.2019","217,68","221,03","222,49","217,19","31,43M","-0,48%"
"23.09.2019","218,72","218,95","219,84","217,65","19,42M","0,45%"
"20.09.2019","217,73","221,38","222,56","217,47","57,98M","-1,46%"
"19.09.2019","220,96","222,01","223,76","220,37","22,19M","-0,81%"
"18.09.2019","222,77","221,06","222,85","219,44","25,64M","0,94%"
"17.09.2019","220,70","219,96","220,82","219,12","18,39M","0,36%"
"16.09.2019","219,90","217,73","220,13","217,56","21,16M","0,53%"
